Date,Open,High,Low,Close,Adj Close,Volume
2014-02-26,7745.379883,7766.649902,7724.629883,7742.870117,7742.870117,0
2014-02-27,7733.990234,7784.490234,7721.970215,7784.250000,7784.250000,0
2014-02-28,7787.350098,7851.220215,7767.620117,7813.540039,7813.540039,0
2014-03-03,7750.979980,7776.649902,7711.609863,7753.520020,7753.520020,0
2014-03-04,7820.669922,7886.350098,7820.669922,7874.020020,7874.020020,0
2014-03-05,7874.450195,7885.500000,7860.209961,7870.640137,7870.640137,0
2014-03-06,7886.910156,7913.419922,7886.910156,7895.330078,7895.330078,0
2014-03-07,7925.490234,7931.979980,7882.830078,7911.729980,7911.729980,0
2014-03-10,7898.560059,7912.080078,7863.470215,7908.750000,7908.750000,0
2014-03-11,7916.379883,7920.439941,7849.129883,7862.189941,7862.189941,0
2014-03-12,7831.000000,7859.750000,7811.140137,7854.209961,7854.209961,0
2014-03-13,7869.270020,7883.660156,7752.200195,7767.669922,7767.669922,0
2014-03-14,7757.379883,7795.450195,7738.529785,7746.899902,7746.899902,0
2014-03-17,7780.430176,7837.580078,7780.430176,7830.439941,7830.439941,0
2014-03-18,7839.850098,7883.979980,7836.080078,7873.669922,7873.669922,0
2014-03-19,7873.709961,7881.819824,7780.520020,7825.700195,7825.700195,0
2014-03-20,7822.379883,7890.350098,7804.720215,7885.439941,7885.439941,0
2014-03-21,7943.509766,7948.129883,7867.100098,7880.350098,7880.350098,0
2014-03-24,7886.330078,7907.120117,7832.930176,7860.810059,7860.810059,0
2014-03-25,7892.950195,7917.759766,7870.569824,7905.839844,7905.839844,0
2014-03-26,7905.839844,7947.689941,7872.990234,7872.990234,7872.990234,0
2014-03-27,7867.500000,7884.979980,7841.899902,7868.229980,7868.229980,0
2014-03-28,7884.759766,7932.919922,7881.439941,7904.740234,7904.740234,0
2014-03-31,7944.259766,7972.680176,7940.919922,7965.129883,7965.129883,0
2014-04-01,7974.000000,8002.879883,7963.970215,7990.350098,7990.350098,0
2014-04-02,7992.609863,8023.660156,7976.729980,8013.290039,8013.290039,0
2014-04-03,8022.169922,8027.029785,7998.930176,8018.399902,8018.399902,0
2014-04-04,8050.790039,8062.640137,7948.229980,7953.120117,7953.120117,0
2014-04-07,7937.799805,7946.979980,7870.640137,7873.339844,7873.339844,0
2014-04-08,7867.459961,7904.959961,7842.200195,7888.299805,7888.299805,0
2014-04-09,7904.950195,7959.500000,7880.609863,7958.930176,7958.930176,0
2014-04-10,7958.520020,7966.250000,7813.330078,7819.540039,7819.540039,0
2014-04-11,7793.779785,7826.890137,7757.140137,7757.560059,7757.560059,0
2014-04-14,7803.169922,7830.049805,7758.750000,7820.540039,7820.540039,0
2014-04-15,7841.649902,7880.890137,7784.279785,7878.930176,7878.930176,0
2014-04-16,7919.240234,7949.720215,7898.180176,7949.689941,7949.689941,0
2014-04-17,7931.750000,7983.649902,7931.750000,7963.990234,7963.990234,0
2014-04-21,7963.990234,7991.729980,7959.729980,7991.500000,7991.500000,0
2014-04-22,7991.779785,8036.310059,7985.640137,8009.009766,8009.009766,0
2014-04-23,8004.500000,8012.250000,7989.240234,8002.140137,8002.140137,0
2014-04-24,8011.660156,8011.660156,7966.740234,7988.970215,7988.970215,0
2014-04-25,7974.490234,7978.029785,7927.339844,7944.189941,7944.189941,0
2014-04-28,7970.470215,7998.459961,7910.959961,7975.890137,7975.890137,0
2014-04-29,7995.910156,8022.149902,7995.609863,8011.299805,8011.299805,0
2014-04-30,8005.330078,8039.160156,7996.069824,8034.149902,8034.149902,0
2014-05-01,8027.910156,8038.020020,8000.979980,8019.319824,8019.319824,0
2014-05-02,8017.970215,8052.379883,7993.890137,8007.339844,8007.339844,0
2014-05-05,7973.049805,8016.060059,7945.310059,8010.020020,8010.020020,0
2014-05-06,7996.020020,7996.020020,7948.729980,7949.270020,7949.270020,0
2014-05-07,7968.609863,8013.049805,7939.720215,8009.569824,8009.569824,0
2014-05-08,8005.259766,8044.009766,7981.430176,8002.990234,8002.990234,0
2014-05-09,8001.399902,8020.839844,7970.910156,8014.640137,8014.640137,0
2014-05-12,8039.240234,8072.410156,8039.240234,8070.189941,8070.189941,0
2014-05-13,8077.250000,8092.100098,8072.740234,8081.229980,8081.229980,0
2014-05-14,8078.419922,8080.569824,8034.520020,8045.430176,8045.430176,0
2014-05-15,8021.060059,8022.640137,7938.470215,7963.419922,7963.419922,0
2014-05-16,7962.939941,7987.080078,7947.399902,7985.720215,7985.720215,0
2014-05-19,7965.779785,8010.169922,7961.540039,8006.319824,8006.319824,0
2014-05-20,8000.700195,8000.700195,7931.609863,7946.240234,7946.240234,0
2014-05-21,7967.600098,8017.520020,7967.600098,8012.569824,8012.569824,0
2014-05-22,8009.810059,8039.450195,7995.620117,8025.189941,8025.189941,0
2014-05-23,8031.390137,8054.109863,8030.549805,8047.810059,8047.810059,0
2014-05-27,8070.149902,8083.950195,8065.950195,8076.529785,8076.529785,0
2014-05-28,8076.720215,8089.919922,8063.850098,8070.040039,8070.040039,0
2014-05-29,8081.270020,8110.750000,8068.669922,8110.709961,8110.709961,0
2014-05-30,8096.779785,8130.259766,8091.919922,8127.649902,8127.649902,0
2014-06-02,8131.169922,8140.979980,8106.000000,8134.919922,8134.919922,0
2014-06-03,8120.169922,8134.509766,8110.740234,8129.830078,8129.830078,0
2014-06-04,8119.660156,8139.149902,8107.560059,8137.259766,8137.259766,0
2014-06-05,8143.430176,8188.709961,8118.750000,8183.779785,8183.779785,0
2014-06-06,8193.790039,8223.910156,8193.700195,8222.820313,8222.820313,0
2014-06-09,8211.849609,8250.650391,8211.849609,8234.969727,8234.969727,0
2014-06-10,8227.769531,8238.709961,8208.969727,8238.290039,8238.290039,0
2014-06-11,8212.469727,8217.490234,8188.479980,8201.410156,8201.410156,0
2014-06-12,8194.030273,8200.509766,8132.040039,8146.520020,8146.520020,0
